date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019/9/25,27.76,28.2,27.3,27.35,27.91,5049001,139836223,3,1.8185,1,-2.0064,0
2019/9/26,27.41,28.02,26.93,27.21,27.35,3606506,98958193,3,1.299,1,-0.5119,0
2019/9/27,27.21,27.45,26.73,27.11,27.21,2907850,78851615,3,1.0473,1,-0.3675,0
2019/9/30,27.21,27.65,26.96,27.25,27.11,3033289,82915912,3,1.0925,1,0.5164,0
2019/10/8,27.25,27.87,26.91,27.66,27.25,3594432,98969038,3,1.2946,1,1.5046,0
2019/10/9,27.17,27.59,26.58,27.1,27.66,6365160,171901086,3,2.2926,1,-2.0246,0
2019/10/10,27.18,28.58,27.1,28.16,27.1,7869814,221032385,3,2.8345,1,3.9114,0
2019/10/11,28.45,28.45,27.72,27.97,28.16,4674402,131233746,3,1.6836,1,-0.6747,0
2019/10/14,28.13,28.5,27.92,28.17,27.97,4155000,117045676,3,1.4965,1,0.7151,0
2019/10/15,28.14,29.37,28.05,28.42,28.17,6635441,190902492,3,2.3899,1,0.8875,0
2019/10/16,28.32,29.24,28.06,28.1,28.42,6237367,178632459,3,2.2465,1,-1.126,0
2019/10/17,28.58,29.74,28.11,28.72,28.1,8195259,235668901,3,2.9517,1,2.2064,0
2019/10/18,28.68,28.85,27.5,27.5,28.72,6046533,169274544,3,2.1778,1,-4.2479,0
2019/10/21,27.5,28.35,27.37,27.98,27.5,4880802,136580815,3,1.7579,1,1.7455,0
2019/10/22,27.7,28.2,27.67,28.12,27.98,2687375,75071096,3,0.9679,1,0.5004,0
2019/10/23,28.24,28.24,27.01,27.23,28.12,5341967,146269817,3,1.924,1,-3.165,0
2019/10/24,26,26,24.94,25.31,27.23,13569852,343637853,3,4.8875,1,-7.051,0
2019/10/25,25.33,25.65,24.83,25.42,25.31,6079045,154092312,3,2.1895,1,0.4346,0
2019/10/28,25.4,26.15,25.39,25.92,25.42,5758792,148959907,3,2.0742,1,1.967,0
2019/10/29,25.93,26.17,25.42,25.65,25.92,5010908,129358221,3,1.8048,1,-1.0417,0
2019/10/30,25.55,25.95,25.13,25.22,25.65,3960623,100832834,3,1.4265,1,-1.6764,0
2019/10/31,25.2,25.77,24.9,25.08,25.22,3976176,100306567,3,1.4321,1,-0.5551,0
2019/11/1,24.99,25.46,24.92,25.28,25.08,3082609,77685049,3,1.1103,1,0.7975,0
2019/11/4,25.35,26.3,25.33,25.72,25.28,4423709,114442392,3,1.5933,1,1.7405,0
2019/11/5,25.9,25.9,25.48,25.62,25.72,4325654,111093533,3,1.558,1,-0.3888,0
2019/11/6,25.62,25.69,25.12,25.25,25.62,3013885,76545940,3,1.0855,1,-1.4442,0
2019/11/7,25.32,25.67,25.25,25.45,25.25,3364495,85723495,3,1.2118,1,0.7921,0
2019/11/8,25.6,25.87,25.24,25.31,25.45,3451645,88015912,3,1.2432,1,-0.5501,0
2019/11/11,25.15,25.58,25,25.18,25.31,3678745,93176260,3,1.325,1,-0.5136,0
2019/11/12,25.18,25.29,24.9,25.15,25.18,2844640,71225069,3,1.0246,1,-0.1191,0
2019/11/13,25.23,25.43,24.88,25.24,25.15,2828028,71257218,3,1.0186,1,0.3579,0
2019/11/14,25.37,25.55,25.03,25.18,25.24,3154563,79747386,3,1.1362,1,-0.2377,0
2019/11/15,25.18,25.55,25.16,25.26,25.18,3276498,83186254,3,1.1801,1,0.3177,0
2019/11/18,25.01,25.44,25.01,25.4,25.26,2074445,52411701,3,0.7472,1,0.5542,0
2019/11/19,25.21,25.55,25.16,25.52,25.4,2123313,54046840,3,0.7648,1,0.4724,0
2019/11/20,25.53,25.8,25.31,25.32,25.52,3024326,77313253,3,1.0893,1,-0.7837,0
2019/11/21,25.52,25.52,25.16,25.43,25.32,2091588,53085494,3,0.7533,1,0.4344,0
2019/11/22,25.4,25.6,24.93,25.1,25.43,3368357,85062715,3,1.2132,1,-1.2977,0
2019/11/25,25.18,25.25,24.86,25.18,25.1,2766548,69348417,3,0.9964,1,0.3187,0
2019/11/26,25.17,25.26,24.47,24.47,25.18,6526034,161642724,3,2.3505,1,-2.8197,0
